"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"C3201","J306","J286",125.012762953713,0.01,0,0,0,0
"C3201","J286","J147",787.568485278928,0.01,0,0,0,0
"C3202","J147","J224",399.652769869186,0.01,0,0,0,0
"C3202","J224","J417",1762.03438076763,0.01,0,0,0,0
"C3204","J417","J416",178.169220859331,0.01,0,0,0,0
"C3204","J416","J130",2257.53226708992,0.01,0,0,0,0
"C3205","J130","J115",71.156027987179,0.01,0,0,0,0
"C3205","J115","J65",229.986919509415,0.01,0,0,0,0
"C3207","J65","J115",229.986919509415,0.01,0,0,0,0
"C3207","J115","J56",329.788021535993,0.01,0,0,0,0
"C3208","J56","J65",229.516967574568,0.01,0,0,0,0
"C3208","J65","J376",2810.63158623581,0.01,0,0,0,0
"C32231","J376","J367",265.403880345514,0.01,0,0,0,0
"C32231","J367","J30",3652.44602915709,0.01,0,0,0,0
"C32232","J30","J34",99.2996515599829,0.01,0,0,0,0
"C32232","J34","J7",2472.72612509856,0.01,0,0,0,0
"C3250","J7","J9",58.8090572017262,0.01,0,0,0,0
"C3250","J9","J300",1603.06468879939,0.01,0,0,0,0
"C3251","J300","J303",16.4889643834824,0.01,0,0,0,0
"C3251","J303","J580",4044.46674045125,0.01,0,0,0,0
"C3252","J580","J617",347.231985855453,0.01,0,0,0,0
"C3252","J617","J408",2126.5109072995,0.01,0,0,0,0
"C3254","J408","J398",246.527542182498,0.01,0,0,0,0
"C3254","J398","J386",602.571853973928,0.01,0,0,0,0
"C32658","J386","J385",26.2574016750909,0.01,0,0,0,0
"C32658","J385","J302",1606.19334388451,0.01,0,0,0,0
"C32716","J302","J303",63.7122173762803,0.01,0,0,0,0
"C32716","J303","J208",895.674071353484,0.01,0,0,0,0
"C32771","J208","J202",32.0865751744677,0.01,0,0,0,0
"C32771","J202","J499",3585.3192475619,0.01,0,0,0,0
"C32984","J499","J514",209.305394094384,0.01,0,0,0,0
"C32984","J514","J594",2067.46334765835,0.01,0,0,0,0
"C32989","J594","J587",182.278267743242,0.01,0,0,0,0
"C32989","J587","J510",1121.02238360161,0.01,0,0,0,0
"C32992","J510","J525",85.7943613649378,0.01,0,0,0,0
"C32992","J525","J119",4976.50168466609,0.01,0,0,0,0
"C33052","J119","J159",168.751525266275,0.01,0,0,0,0
"C33052","J159","J160",7.27189013911332,0.01,0,0,0,0
"C33053","J160","J172",72.8148679232719,0.01,0,0,0,0
"C33053","J172","J582",3503.10854285542,0.01,0,0,0,0
"C33198","J582","J590",166.001964797339,0.01,0,0,0,0
"C33198","J590","J657",3894.96396871914,0.01,0,0,0,0
"C33216","J657","J658",55.5548207696848,0.01,0,0,0,0
"C33216","J658","J645",1330.13605195223,0.01,0,0,0,0
"C33238","J645","J638",40.3919805077928,0.01,0,0,0,0
"C33238","J638","J329",3411.45127132,0.01,0,0,0,0
"C33267","J329","J333",53.9289111616193,0.01,0,0,0,0
"C33267","J333","J263",467.357897732808,0.01,0,0,0,0
"C33268","J263","J270",141.60800369117,0.01,0,0,0,0
"C33268","J270","J590",5432.21537470417,0.01,0,0,0,0
"C33361","J590","J579",121.990338993342,0.01,0,0,0,0
"C33361","J579","J246",3260.00601644497,0.01,0,0,0,0
"C3363","J246","J241",26.739771219996,0.01,0,0,0,0
"C3363","J241","J278",2563.05588804737,0.01,0,0,0,0
"C3375","J278","J291",106.472858819282,0.01,0,0,0,0
"C3375","J291","J276",126.793954827049,0.01,0,0,0,0
"C3376","J276","J278",23.6453878929299,0.01,0,0,0,0
"C3376","J278","J19",2474.68058830408,0.01,0,0,0,0
"C34492","J19","J25",38.8565504191352,0.01,0,0,0,0
"C34492","J25","J144",766.815806621994,0.01,0,0,0,0
