"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
556,"CIRCULAR","30",0,0,0,NA,0
557,"CIRCULAR","30",0,0,0,NA,0
558,"CIRCULAR","42",0,0,0,NA,0
559,"CIRCULAR","42",0,0,0,NA,0
560,"CIRCULAR","18",0,0,0,NA,0
561,"CIRCULAR","18",0,0,0,NA,0
562,"CIRCULAR","18",0,0,0,NA,0
563,"CIRCULAR","18",0,0,0,NA,0
564,"CIRCULAR","18",0,0,0,NA,0
565,"CIRCULAR","18",0,0,0,NA,0
566,"CIRCULAR","24",0,0,0,NA,0
567,"CIRCULAR","24",0,0,0,NA,0
568,"CIRCULAR","18",0,0,0,NA,0
569,"CIRCULAR","18",0,0,0,NA,0
570,"CIRCULAR","18",0,0,0,NA,0
571,"CIRCULAR","18",0,0,0,NA,0
572,"CIRCULAR","18",0,0,0,NA,0
573,"CIRCULAR","18",0,0,0,NA,0
574,"CIRCULAR","18",0,0,0,NA,0
575,"CIRCULAR","18",0,0,0,NA,0
576,"CIRCULAR","24",0,0,0,NA,0
577,"CIRCULAR","24",0,0,0,NA,0
578,"CIRCULAR","42",0,0,0,NA,0
579,"CIRCULAR","42",0,0,0,NA,0
580,"CIRCULAR","48",0,0,0,NA,0
581,"CIRCULAR","48",0,0,0,NA,0
582,"CIRCULAR","24",0,0,0,NA,0
583,"CIRCULAR","24",0,0,0,NA,0
584,"CIRCULAR","18",0,0,0,NA,0
585,"CIRCULAR","18",0,0,0,NA,0
586,"CIRCULAR","18",0,0,0,NA,0
587,"CIRCULAR","18",0,0,0,NA,0
588,"CIRCULAR","30",0,0,0,NA,0
589,"CIRCULAR","30",0,0,0,NA,0
590,"CIRCULAR","24",0,0,0,NA,0
591,"CIRCULAR","24",0,0,0,NA,0
592,"CIRCULAR","18",0,0,0,NA,0
593,"CIRCULAR","18",0,0,0,NA,0
594,"CIRCULAR","24",0,0,0,NA,0
595,"CIRCULAR","24",0,0,0,NA,0
596,"CIRCULAR","30",0,0,0,NA,0
597,"CIRCULAR","30",0,0,0,NA,0
598,"CIRCULAR","30",0,0,0,NA,0
599,"CIRCULAR","30",0,0,0,NA,0
600,"CIRCULAR","18",0,0,0,NA,0
601,"CIRCULAR","18",0,0,0,NA,0
602,"CIRCULAR","18",0,0,0,NA,0
603,"CIRCULAR","18",0,0,0,NA,0
604,"CIRCULAR","48",0,0,0,NA,0
605,"CIRCULAR","48",0,0,0,NA,0
606,"CIRCULAR","18",0,0,0,NA,0
607,"CIRCULAR","18",0,0,0,NA,0
608,"CIRCULAR","18",0,0,0,NA,0
609,"CIRCULAR","18",0,0,0,NA,0
610,"CIRCULAR","23",0,0,0,NA,0
611,"CIRCULAR","23",0,0,0,NA,0
612,"CIRCULAR","18",0,0,0,NA,0
613,"CIRCULAR","18",0,0,0,NA,0
614,"CIRCULAR","18",0,0,0,NA,0
615,"CIRCULAR","18",0,0,0,NA,0
616,"CIRCULAR","24",0,0,0,NA,0
617,"CIRCULAR","24",0,0,0,NA,0
618,"CIRCULAR","24",0,0,0,NA,0
619,"CIRCULAR","24",0,0,0,NA,0
622,"CIRCULAR","18",0,0,0,NA,0
623,"CIRCULAR","18",0,0,0,NA,0
624,"CIRCULAR","18",0,0,0,NA,0
625,"CIRCULAR","18",0,0,0,NA,0
628,"CIRCULAR","23",0,0,0,NA,0
629,"CIRCULAR","23",0,0,0,NA,0
630,"CIRCULAR","24",0,0,0,NA,0
631,"CIRCULAR","24",0,0,0,NA,0
632,"CIRCULAR","24",0,0,0,NA,0
633,"CIRCULAR","24",0,0,0,NA,0
634,"CIRCULAR","24",0,0,0,NA,0
