OBJECTID_12,OBJECTID,PolygonID,StreamLink,StreamLen,DSNodeID,DSWSID,US1WSID,US2WSID,Area_M,Area_Acre,Area_SqMi,AveSlope,Shape_Leng,Percent_Ar,OBJECTID_1,POLYGONI_1,VALUE_1,ORIG_FID,POINT_X,POINT_Y
100,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7483149,21.32621956
101,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7482667,21.3262192
102,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7482189,21.32617368
103,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7481711,21.32612815
104,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7481232,21.32608263
105,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7480754,21.3260371
106,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7480276,21.32599158
107,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.748028,21.32594641
108,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7480762,21.32594677
109,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7481248,21.32590196
110,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7481734,21.32585716
111,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7482219,21.32581235
112,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7482705,21.32576754
113,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7483191,21.32572274
114,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7483195,21.32567757
115,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7483199,21.3256324
116,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7483685,21.3255876
117,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7484171,21.32554279
118,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7484174,21.32549763
119,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7484178,21.32545246
120,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7484664,21.32540765
121,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.748515,21.32536285
122,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485154,21.32531768
123,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485158,21.32527251
124,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485162,21.32522735
125,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485165,21.32518218
126,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7485651,21.32513738
127,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486137,21.32509257
128,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486141,21.3250474
129,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486145,21.32500224
130,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7486631,21.32495743
131,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7487116,21.32491262
132,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7487602,21.32486782
133,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7488088,21.32482301
134,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7488092,21.32477784
135,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7488096,21.32473268
136,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7488582,21.32468787
137,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7489068,21.32464307
138,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7489071,21.3245979
139,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7489075,21.32455273
140,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7489079,21.32450757
141,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7489083,21.3244624
142,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7489569,21.3244176
143,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7490055,21.32437279
144,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.749054,21.32432798
145,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7491026,21.32428317
146,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7491512,21.32423837
147,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7491998,21.32419356
148,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7492002,21.32414839
149,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7492006,21.32410323
150,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7492492,21.32405842
151,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7492977,21.32401361
152,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7492981,21.32396845
153,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7492985,21.32392328
154,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7493471,21.32387848
155,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7493953,21.32387883
156,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7494435,21.32387919
157,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7494921,21.32383439
158,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7495407,21.32378958
159,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7495893,21.32374477
160,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7496378,21.32369996
161,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7496864,21.32365516
162,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.749735,21.32361035
163,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7497836,21.32356554
164,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7498322,21.32352074
165,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7498808,21.32347593
166,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7499294,21.32343112
167,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7499779,21.32338631
168,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7500265,21.32334151
169,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7500751,21.3232967
170,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7500755,21.32325153
171,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7500759,21.32320637
172,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7500763,21.3231612
173,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7500766,21.32311604
174,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.750077,21.32307087
