"Name","Type","Geom1","Geom2","Geom3","Geom4","Barrels","Culvert"
"396_50","Trapezoidal",1,1,0,0,1,0
"396_51","Trapezoidal",1,1,0,0,1,0
"396_52","Trapezoidal",1,1,0,0,1,0
"396_53","Trapezoidal",1,1,0,0,1,0
"396_54","Trapezoidal",1,1,0,0,1,0
"396_55","Trapezoidal",1,1,0,0,1,0
"396_56","Trapezoidal",1,1,0,0,1,0
"396_57","Trapezoidal",1,1,0,0,1,0
"396_58","Trapezoidal",1,1,0,0,1,0
"396_59","Trapezoidal",1,1,0,0,1,0
"396_6","Trapezoidal",1,1,0,0,1,0
"396_60","Trapezoidal",1,1,0,0,1,0
"396_61","Trapezoidal",1,1,0,0,1,0
"396_62","Trapezoidal",1,1,0,0,1,0
"396_63","Trapezoidal",1,1,0,0,1,0
"396_64","Trapezoidal",1,1,0,0,1,0
"396_65","Trapezoidal",1,1,0,0,1,0
"396_66","Trapezoidal",1,1,0,0,1,0
"396_67","Trapezoidal",1,1,0,0,1,0
"396_68","Trapezoidal",1,1,0,0,1,0
"396_69","Trapezoidal",1,1,0,0,1,0
"396_7","Trapezoidal",1,1,0,0,1,0
"396_70","Trapezoidal",1,1,0,0,1,0
"396_71","Trapezoidal",1,1,0,0,1,0
"396_72","Trapezoidal",1,1,0,0,1,0
"396_73","Trapezoidal",1,1,0,0,1,0
"396_74","Trapezoidal",1,1,0,0,1,0
"396_75","Trapezoidal",1,1,0,0,1,0
"396_76","Trapezoidal",1,1,0,0,1,0
"396_77","Trapezoidal",1,1,0,0,1,0
"396_78","Trapezoidal",1,1,0,0,1,0
"396_79","Trapezoidal",1,1,0,0,1,0
"396_8","Trapezoidal",1,1,0,0,1,0
"396_80","Trapezoidal",1,1,0,0,1,0
"396_81","Trapezoidal",1,1,0,0,1,0
"396_82","Trapezoidal",1,1,0,0,1,0
"396_83","Trapezoidal",1,1,0,0,1,0
"396_84","Trapezoidal",1,1,0,0,1,0
"396_85","Trapezoidal",1,1,0,0,1,0
"396_86","Trapezoidal",1,1,0,0,1,0
"396_87","Trapezoidal",1,1,0,0,1,0
"396_88","Trapezoidal",1,1,0,0,1,0
"396_89","Trapezoidal",1,1,0,0,1,0
"396_9","Trapezoidal",1,1,0,0,1,0
"396_90","Trapezoidal",1,1,0,0,1,0
"396_91","Trapezoidal",1,1,0,0,1,0
"396_92","Trapezoidal",1,1,0,0,1,0
"396_93","Trapezoidal",1,1,0,0,1,0
"396_94","Trapezoidal",1,1,0,0,1,0
"396_95","Trapezoidal",1,1,0,0,1,0
"396_96","Trapezoidal",1,1,0,0,1,0
"396_97","Trapezoidal",1,1,0,0,1,0
"396_98","Trapezoidal",1,1,0,0,1,0
"396_99","Trapezoidal",1,1,0,0,1,0
"399_1","Trapezoidal",1,1,0,0,1,0
"399_10","Trapezoidal",1,1,0,0,1,0
"399_11","Trapezoidal",1,1,0,0,1,0
"399_12","Trapezoidal",1,1,0,0,1,0
"399_13","Trapezoidal",1,1,0,0,1,0
"399_14","Trapezoidal",1,1,0,0,1,0
"399_15","Trapezoidal",1,1,0,0,1,0
"399_16","Trapezoidal",1,1,0,0,1,0
"399_17","Trapezoidal",1,1,0,0,1,0
"399_18","Trapezoidal",1,1,0,0,1,0
"399_19","Trapezoidal",1,1,0,0,1,0
"399_2","Trapezoidal",1,1,0,0,1,0
"399_20","Trapezoidal",1,1,0,0,1,0
"399_21","Trapezoidal",1,1,0,0,1,0
"399_22","Trapezoidal",1,1,0,0,1,0
"399_23","Trapezoidal",1,1,0,0,1,0
"399_24","Trapezoidal",1,1,0,0,1,0
"399_25","Trapezoidal",1,1,0,0,1,0
"399_26","Trapezoidal",1,1,0,0,1,0
"399_27","Trapezoidal",1,1,0,0,1,0
"399_28","Trapezoidal",1,1,0,0,1,0
"399_29","Trapezoidal",1,1,0,0,1,0
"399_3","Trapezoidal",1,1,0,0,1,0
"399_30","Trapezoidal",1,1,0,0,1,0
"399_31","Trapezoidal",1,1,0,0,1,0
"399_32","Trapezoidal",1,1,0,0,1,0
"399_33","Trapezoidal",1,1,0,0,1,0
"399_34","Trapezoidal",1,1,0,0,1,0
"399_35","Trapezoidal",1,1,0,0,1,0
"399_36","Trapezoidal",1,1,0,0,1,0
"399_37","Trapezoidal",1,1,0,0,1,0
